id,text,created_at,user,retweet_count,favorite_count,sentiment
2058740542,home internet is well too slow !! ,2009-06-06 16:25:16-07:00,msp301,3061,2522,NEGATIVE
1573090966,Doing more audio testing and  something in my  switchbox seems to have come loose. Time to get the soldering iron out ,2009-04-21 00:34:04-07:00,benrhughes,203,6609,NEGATIVE
1970182022,Can't sleep all I could think about is him ,2009-05-30 03:40:45-07:00,dmx43k,2317,18075,POSITIVE
2247714255,weekend ditinggal suami ngantor.. *huh.. ,2009-06-19 20:23:45-07:00,dadidedo,3805,331,NEGATIVE
1827961850,@Ebnikki87 heyyyyy  how ya doing?,2009-05-17 12:41:29-07:00,AriesChild,6834,6424,POSITIVE
2205082847,@mckennacali yeahhh I'm good  Same it's been really sunny lately but then today it's raining lol  xox,2009-06-17 04:47:49-07:00,OfficiallyAmy,3701,8589,NEGATIVE
1881754275,that's good weather kind of improving!! So is Kate and Pete really getting a divorce? ,2009-05-22 06:21:50-07:00,traciesavery,6330,15710,NEGATIVE
2248747420,Just found out that my roommates let the dog chew up my childhood toy. So sad and pissed ,2009-06-19 22:00:05-07:00,wikkideclipse,5641,6857,NEGATIVE
2212339164,i love after pool hair! something about the chlorine makes it look sooooo nice!!!! going to try and cheer up halle she's sad ,2009-06-17 14:51:29-07:00,maliboobarbiee,2477,4856,NEGATIVE
1932274892,"@rellacafa i'll rest vicariously through your nap, so have a good one ",2009-05-26 22:02:05-07:00,Outoftheboxalex,7122,7478,POSITIVE
2198122689,@kderentz the guy said no he couldn't take me till at least 330 maybe later so that didnt work  tomorrow i guess,2009-06-16 16:31:06-07:00,Karkabarbie,3833,2611,NEGATIVE
2011566005,"@DAW69 I like the WHEN, and not the IF  I swear I'm gonna tell him I didn't get my kiss on the cruise!!!",2009-06-02 20:06:11-07:00,NKArmyTNgirl,4955,15556,POSITIVE
1753937090,@efan78 How about you? Oldest or youngest in the class at school? ,2009-05-10 05:05:52-07:00,linnetwoods,4824,1314,POSITIVE
